,kiwerUsername,clientId,restaurantId,restaurant.location.lat,restaurant.location.lng,location.lat,location.lng,rating,created,courierArrived,pickedUp,botLoaded,waitingForClient,closed
2837,juanbenitez,5b7b8503de751400042f8b15,5af4e54efddc930004f0452e,37.868098,-122.2581362,37.861655999999996,-122.26766370000001,5.0,1548453335572,1548456162013,1548456806275,1548457238334,None,1548458652637
2838,estefania,5b9e47648d33c60004d6e8ea,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.8658305,-122.25428219999998,,1548453184273,1548456200208,1548456768295,1548456801355,1548459862742,1548459966568
2840,carlos,58a653294432ee0004818798,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.8661689,-122.2654101,5.0,1548452268959,1548455986952,1548456757292,1548456788892,None,1548457761076
2842,carlos,5c4b7e20ccf0b9000466d76a,5bc81af17a2ac90004e84b2d,37.8625925,-122.2590371,37.8731064,-122.2559915,1.0,1548451880934,1548459117496,1548459412774,1548459631346,1548462526829,1548463573451
2843,johan,5b75eae5b2718000048c9d2f,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.873619,-122.25763769999999,5.0,1548437738112,1548455977294,1548456875330,1548457587798,1548458015749,1548458357546
2844,johan,5c476b9c7d76160004a475f5,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.8756225,-122.2567019,5.0,1548433625609,1548455970960,1548456869524,1548458131423,None,1548458418107
2845,johan,5770e1c8d9ecde0003e4b7c6,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.8745435,-122.2644656,5.0,1548441164687,1548455956621,1548456862802,1548456983129,1548458353755,1548458435054
2846,johan,5ba15aa0e3cb5b00045de4d4,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.8756402,-122.2567562,5.0,1548441072263,1548455953756,1548456858410,1548458125460,None,1548458434250
2847,johan,5bc6a2f621815e0004464795,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.8714283,-122.25470120000001,5.0,1548439071188,1548455947931,1548456853702,1548457635683,1548459083281,1548459394590
2848,cristianmaldonado,5b7c5b78849e46000479bb9c,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.8664889,-122.2642098,5.0,1548451811914,1548457559365,1548457664698,1548457746799,None,1548458549506
2849,dianaleano,5b7c5b78849e46000479bb9c,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.8665122,-122.2642185,5.0,1548451783958,1548452666106,1548452850702,1548453953576,1548457225650,1548457283660
2850,estefania,5c4b7e6accf0b9000466d774,5963ce3e8f904b0004b3f6c4,37.870018,-122.268605,37.8747481,-122.2588484,4.0,1548451707320,1548453363820,1548453369890,1548453713869,1548454521593,1548459141283
2851,estefania,5b7bcf04de751400042f8c0b,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.874114999999996,-122.25545159999999,5.0,1548451499935,1548453349222,1548453353315,1548454117140,1548455221374,1548455382918
2852,estefania,5b6c9daab1f3cf00044341a4,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.8731064,-122.2559915,,1548451390629,1548452662812,1548453283046,1548454986502,1548455970062,1548456236764
2854,estefania,5b9ee40caecc810004951ad1,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.8640347,-122.2502274,,1548450913682,1548452657209,1548453264145,1548455484517,1548456901950,1548456982717
